id,Name,titleProject_id,class,score,login,password
241,Пурынов Евгений Петрович,244,9и,3,Пурынов_ЕП,xyz9joP3
242,Супрутская Вероника Викторовна,187,9а,2,Супрутская_ВВ,1h5xC2Bn
243,Скроцкая Алина Федоровна,127,8г,3,Скроцкая_АФ,LakLk6xV
244,Барадулин Вадим Юрьевич,281,11х,3,Барадулин_ВЮ,0K4VygtQ
245,Точилин Дмитрий Фёдорович,476,8а,2,Точилин_ДФ,WrHPicBq
246,Бикмуллин Руслан Валериевич,333,11т,2,Бикмуллин_РВ,VFqT5Vg6
247,Серпичев Василий Алексиевич,394,10х,5,Серпичев_ВА,YKB5LwJ5
248,Вострышев Яков Аркадиевич,343,8г,5,Вострышев_ЯА,HSMzMNul
249,Грушчева София Евгеньевна,480,11в,None,Грушчева_СЕ,cAbbHOGh
250,Кулапов Александр Юрьевич,109,9б,5,Кулапов_АЮ,95XA0bme
251,Чибисенков Владислав Фёдорович,375,8х,3,Чибисенков_ВФ,2atDm7CD
252,Утилов Роман Василиевич,254,9х,2,Утилов_РВ,IwQtjdeH
253,Татаурова Галина Федоровна,145,10т,4,Татаурова_ГФ,fvUUdyHB
254,Визавитина Наталия Леонидовна,101,10г,2,Визавитина_НЛ,M1IWOqCZ
255,Мягченков Артём Денисович,115,7б,4,Мягченков_АД,lCvRLO9D
256,Брикова Инна Богдановна,256,9б,4,Брикова_ИБ,VwYqonp0
257,Наторкин Валентин Данилович,319,7и,2,Наторкин_ВД,Yr1hUlcn
258,Эштрекова Софья Алексеевна,76,9в,3,Эштрекова_СА,T5D3qrRO
259,Кутаманова Кира Андреевна,182,10т,2,Кутаманова_КА,BInOjJva
260,Кыштымова Евгения Эдуардовна,255,8в,5,Кыштымова_ЕЭ,5cO2Yq1C
261,Ккнязева Клавдия Дмитриевна,34,7б,5,Ккнязева_КД,FlzQfWgv
262,Глаголина Алиса Никитична,249,9д,2,Глаголина_АН,pfIAU6a8
263,Рисина Раиса Валерьевна,451,10а,4,Рисина_РВ,Cb2wgcHA
264,Ребров Алексей Георгиевич,289,8и,3,Ребров_АГ,A0LsHryr
265,Вырысалова Александра Евгеньевна,39,11и,2,Вырысалова_АЕ,fWHzkrSk
266,Гомольский Владимир Юриевич,314,11х,5,Гомольский_ВЮ,lsePrHxb
267,Швинова Марина Федоровна,271,8г,5,Швинова_МФ,l37E68hC
268,Рудковская Инна Дмитриевна,6,7т,3,Рудковская_ИД,F3Febyot
269,Решеткина Дарья Василевна,408,10и,3,Решеткина_ДВ,he8e6FZE
270,Евстихеев Игорь Василиевич,422,10х,5,Евстихеев_ИВ,1D2sJaNE
271,Лазарина Алёна Федоровна,161,8б,3,Лазарина_АФ,wBH01tkb
272,Гляченков Григорий Николаевич,431,10а,5,Гляченков_ГН,7aRxyG1x
273,Чардынцева Алина Вадимовна,135,10д,3,Чардынцева_АВ,ixahsBN4
274,Скаредов Яков Иванович,337,9т,5,Скаредов_ЯИ,vlZ3l7p2
275,Юрицкий Эдуард Денисович,192,7д,3,Юрицкий_ЭД,oM15A04O
276,Кравчина Светлана Аркадьевна,413,11г,5,Кравчина_СА,oSkew9UR
277,Чмареткова Полина Вадимовна,449,10а,2,Чмареткова_ПВ,uCnU2nw9
278,Углова Галина Романовна,260,9г,3,Углова_ГР,3P90WdaM
279,Згуровская Виктория Андреевна,220,9т,4,Згуровская_ВА,8bdgWUdX
280,Секерский Станислав Сергеевич,235,10а,4,Секерский_СС,v5jMpR01
281,Жевайкин Евгений Адамович,86,11г,3,Жевайкин_ЕА,dkxdjfkZ
282,Коточигов Семён Игоревич,26,9д,5,Коточигов_СИ,Rs6kbMA3
283,Калонин Альберт Денисович,297,8б,2,Калонин_АД,4iUjSAOt
284,Валягин Григорий Антонович,94,10в,4,Валягин_ГА,5pw0kbPY
285,Коцева Кристина Николаевна,412,9г,3,Коцева_КН,POawzPhh
286,Голина Кристина Максимовна,3,7х,3,Голина_КМ,TJgOBBxU
287,Батрамеев Анатолий Романович,354,9х,3,Батрамеев_АР,ua9yExvq
288,Чикмарев Валентин Валериевич,306,9и,5,Чикмарев_ВВ,YC0095D2
289,Киницына Валерия Олеговна,202,7х,4,Киницына_ВО,5GB0LcU3
290,Числин Юрий Денисович,121,7в,2,Числин_ЮД,LUVpDD4L
291,Стебунова Юлия Романовна,358,9т,3,Стебунова_ЮР,wJmB6WsH
292,Кацов Павел Павлович,236,10г,5,Кацов_ПП,uAn67Jij
293,Гоцев Тарас Викторович,41,8в,3,Гоцев_ТВ,SeoQqk76
294,Мотовицкий Роман Аркадиевич,31,11и,5,Мотовицкий_РА,WAHPaOwp
295,Чурзина Клара Егоровна,308,10б,3,Чурзина_КЕ,wllijCc3
296,Щепалкина Валерия Сергеевна,134,9б,4,Щепалкина_ВС,6Fdtu3qN
297,Утимишев Ярослав Игоревич,239,11а,3,Утимишев_ЯИ,nheu8hlk
298,Алуханов Кирилл Фёдорович,298,7т,2,Алуханов_КФ,imkvrL9t
299,Полунеев Валентин Валериевич,307,8и,2,Полунеев_ВВ,KBYi6A2B
300,Крупенова Наталия Андреевна,209,7в,5,Крупенова_НА,GAwbRrV6
301,Корнюшин Илья Юрьевич,44,10т,3,Корнюшин_ИЮ,kvYCeA8I
302,Паушева Виолетта Никитична,310,8г,4,Паушева_ВН,X2tfrnAL
303,Берзин Герасим Антонович,349,11т,5,Берзин_ГА,GmUh2Dne
304,Шулунова Алла Алексеевна,54,7д,4,Шулунова_АА,T4CzX31s
305,Трепашова София Яковлевна,399,11а,2,Трепашова_СЯ,a0xBTeZV
306,Чумейкин Константин Антонович,8,8б,5,Чумейкин_КА,WO5h11y7
307,Польшиков Денис Игоревич,495,9и,2,Польшиков_ДИ,S4wyOkdE
308,Медоусова Жанна Романовна,252,7б,2,Медоусова_ЖР,mwmCBsUp
309,Акуратова Клавдия Андреевна,92,9г,5,Акуратова_КА,xy9B200E
310,Курмеева Елизавета Валерьевна,486,8а,5,Курмеева_ЕВ,duOYoS93
311,Бадов Александр Аркадиевич,217,10г,3,Бадов_АА,YWJLqeXu
312,Бакушин Эдуард Адамович,265,7б,5,Бакушин_ЭА,Q380BYXX
313,Чебина Инна Сергеевна,273,10т,2,Чебина_ИС,IEecGmJq
314,Подледнова Наталья Ивановна,112,11и,3,Подледнова_НИ,a0nc1vbN
315,Садгеева Лиза Евгеньевна,460,11г,3,Садгеева_ЛЕ,pQcnjIMm
316,Акушин Борис Павлович,493,9т,2,Акушин_БП,2fDWlEQd
317,Аришев Руслан Кириллович,379,10т,3,Аришев_РК,96V8kXE3
318,Гуслова Кристина Олеговна,389,9в,2,Гуслова_КО,x9iDynnj
319,Глоточкина Оксана Аркадьевна,370,9и,5,Глоточкина_ОА,YNr1xLeq
320,Шапина Маргарита Романовна,163,8б,5,Шапина_МР,uFF2nXY5
321,Дурылин Георгий Валериевич,261,11т,4,Дурылин_ГВ,GQloTW3D
322,Болкисева Анна Викторовна,248,7х,4,Болкисева_АВ,V7mc0ny6
323,Багапов Вячеслав Сергеевич,99,7д,4,Багапов_ВС,1nBIFUEj
324,Люцарева Яна Аркадьевна,376,11б,2,Люцарева_ЯА,NoVeCB9H
